t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,7.784944244180327644e+01,7.742977949503320190e+01,4.196629467700700999e-01,0.000000000000000000e+00,4.000000000000000000e+01,2.573000000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,2.819244266015975242e+01,2.762307383485309487e+01,5.693777030302925590e-01,-8.877723634082170358e-06,4.000000000000000000e+01,2.582999999999999829e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,2.814754265353254681e+01,2.742949938611551630e+01,7.180433019235898939e-01,-3.450656018472479443e-08,4.000000000000000000e+01,2.605000000000000071e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,2.786803627759499591e+01,2.700363559889282783e+01,8.644007546096518224e-01,-7.590748216115464309e-08,4.000000000000000000e+01,2.637999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,2.737213579218243353e+01,2.636483991805880578e+01,1.007295987984860641e+00,-1.138612318500525739e-07,4.000000000000000000e+01,2.637999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,2.751503113941883782e+01,2.636483991805880578e+01,1.150191221360069571e+00,-4.059005853137833030e-14,4.000000000000000000e+01,2.669999999999999929e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,2.703513072284879470e+01,2.574540168209854230e+01,1.289729151161117970e+00,-1.104108652509393424e-07,4.000000000000000000e+01,2.698999999999999844e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,2.661026020529774883e+01,2.518403578075955096e+01,1.426224524598083354e+00,-1.000598859936976984e-07,4.000000000000000000e+01,2.701999999999999957e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,2.668836858661219225e+01,2.512596344613827526e+01,1.562405150824971001e+00,-1.035105428733158196e-08,4.000000000000000000e+01,2.730999999999999872e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,2.626014066542721181e+01,2.456459754479928748e+01,1.695543220687775854e+00,-1.000598503236674580e-07,4.000000000000000000e+01,2.733999999999999986e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,2.633489174316745718e+01,2.450652521017800822e+01,1.828366543340502970e+00,-1.035105428731886489e-08,4.000000000000000000e+01,2.750000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,2.615631725119858686e+01,2.419680609219787470e+01,1.959511214206149932e+00,-5.520543631547959539e-08,4.000000000000000000e+01,2.767000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,2.595660178823621322e+01,2.386772952934398262e+01,2.088872317548024160e+00,-5.865579184457939935e-08,4.000000000000000000e+01,2.776000000000000156e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,2.591080167368674481e+01,2.369351252548015552e+01,2.217289179259665399e+00,-3.105307676185474955e-08,4.000000000000000000e+01,2.798999999999999844e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,2.559158419305327925e+01,2.324829129338372269e+01,2.343292979027379097e+00,-7.935782046912188935e-08,4.000000000000000000e+01,2.801999999999999957e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,2.565920097999640959e+01,2.319021895876244344e+01,2.468982031585015058e+00,-1.035104690731260872e-08,4.000000000000000000e+01,2.825000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,2.533725566950691288e+01,2.274499772666600350e+01,2.592258022198723033e+00,-7.935781308911686403e-08,4.000000000000000000e+01,2.830999999999999872e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,2.534375755511366890e+01,2.262885305742345565e+01,2.714904518392275978e+00,-2.070206552458334299e-08,4.000000000000000000e+01,2.846999999999999886e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,2.515500624703663135e+01,2.231913393944332213e+01,2.835872362798748547e+00,-5.520544000548141322e-08,4.000000000000000000e+01,2.860000000000000142e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,2.502296341385824618e+01,2.206748715608446076e+01,2.955476302628218477e+00,-4.485443368821540939e-08,4.000000000000000000e+01,2.862999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,2.508418030635976592e+01,2.200941482146318862e+01,3.074765495247611113e+00,-1.035103460729963791e-08,4.000000000000000000e+01,2.882999999999999829e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,2.481422222811438161e+01,2.162226592398802438e+01,3.191956373133153058e+00,-6.900679447183788773e-08,4.000000000000000000e+01,2.896000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,2.467840244221641655e+01,2.137061914062916301e+01,3.307783346441692363e+00,-4.485443860822001471e-08,4.000000000000000000e+01,2.907999999999999829e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,2.456068109164990076e+01,2.113832980214406732e+01,3.422351330909921607e+00,-4.140409045912393906e-08,4.000000000000000000e+01,2.921000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,2.442223838473192643e+01,2.088668301878520595e+01,3.535555410801148213e+00,-4.485442876821255107e-08,4.000000000000000000e+01,2.928000000000000114e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,2.439920596105203288e+01,2.075118090466889598e+01,3.648025080535527209e+00,-2.415239276366441370e-08,4.000000000000000000e+01,2.937000000000000099e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,2.433651437839167997e+01,2.057696390080507243e+01,3.759550508639673438e+00,-3.105306446183862057e-08,4.000000000000000000e+01,2.960000000000000142e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,2.400040546415069898e+01,2.013174266870862894e+01,3.868662874799891682e+00,-7.935782046911873945e-08,4.000000000000000000e+01,2.960000000000000142e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,2.410951790966871044e+01,2.013174266870862894e+01,3.977775240960109926e+00,-2.829003801755948962e-14,4.000000000000000000e+01,2.960000000000000142e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,2.421863027582895711e+01,2.013174266870862894e+01,4.086887607120328170e+00,-1.008503316124212189e-20,4.000000000000000000e+01,2.992000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
