t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.045302023182948261e+02,-4.530202318294826114e+00,0.000000000000000000e+00,5.400000000000000000e+01,2.089999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,9.999501384157075279e+01,6.407314253213998256e+01,3.592685746786001744e+01,-7.211209636701024267e-06,5.400000000000000000e+01,2.087000000000000099e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,9.998528568097576397e+01,6.413121486676124050e+01,3.586878513323875950e+01,1.034844791417610049e-08,5.400000000000000000e+01,2.089999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,9.997104896116900363e+01,6.407314253213998256e+01,3.592685746786001744e+01,-1.035101492818411734e-08,5.400000000000000000e+01,2.089999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,9.995252687640814315e+01,6.407314253213998256e+01,3.592685746786001744e+01,-3.690003128962021392e-15,5.400000000000000000e+01,2.103000000000000114e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.992993281589956212e+01,6.382149574878111764e+01,3.617850425121888236e+01,-4.485441400819039049e-08,5.400000000000000000e+01,2.116000000000000014e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,9.990347078827457494e+01,6.356984896542226693e+01,3.643015103457773307e+01,-4.485442999820588223e-08,5.400000000000000000e+01,2.132000000000000028e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,9.987333582772497209e+01,6.326012984744212275e+01,3.673987015255787725e+01,-5.520544861548862385e-08,5.400000000000000000e+01,2.153999999999999915e+01,7.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,9.983971438259010256e+01,6.283426606021944849e+01,3.716573393978055151e+01,-7.590748954003979822e-08,5.400000000000000000e+01,2.187000000000000099e+01,7.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,9.980278468715358997e+01,6.219547037938541223e+01,3.780452962061458777e+01,-1.138612318500576560e-07,5.400000000000000000e+01,2.219000000000000128e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,9.976271711737490477e+01,6.157603214342515230e+01,3.842396785657484770e+01,-1.104109058409821886e-07,5.400000000000000000e+01,2.248000000000000043e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,9.971967453124983649e+01,6.101466624208616452e+01,3.898533375791383548e+01,-1.000598859937121641e-07,5.400000000000000000e+01,2.282999999999999829e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,9.967381259446371189e+01,6.033715567150462533e+01,3.966284432849537467e+01,-1.207619195382552427e-07,5.400000000000000000e+01,2.314999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.962528009197288270e+01,5.971771743554435830e+01,4.028228256445564170e+01,-1.104109083009894444e-07,5.400000000000000000e+01,2.348000000000000043e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,9.957421922612212484e+01,5.907892175471032914e+01,4.092107824528967086e+01,-1.138612441500795753e-07,5.400000000000000000e+01,2.380000000000000071e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,9.952076590187967042e+01,5.845948351875006921e+01,4.154051648124993079e+01,-1.104109058409877869e-07,5.400000000000000000e+01,2.437999999999999901e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,9.946504999974636974e+01,5.733675171607208654e+01,4.266324828392791346e+01,-2.001197326273624717e-07,5.400000000000000000e+01,2.476999999999999957e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,9.940719563687137850e+01,5.658181136599551309e+01,4.341818863400448691e+01,-1.345633133646647129e-07,5.400000000000000000e+01,2.514999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,9.934732141688378704e+01,5.584622846079270175e+01,4.415377153920729825e+01,-1.311129504555560456e-07,5.400000000000000000e+01,2.573000000000000043e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,9.928554066892783680e+01,5.472349665811471198e+01,4.527650334188528802e+01,-2.001197400073751997e-07,5.400000000000000000e+01,2.605000000000000071e+01,7.000000000000000000e+01,1.000000000000000000e+00
