t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,5.218999999999999773e+01,5.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,5.218999999999999773e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,5.218999999999999773e+01,5.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,5.225000000000000000e+01,5.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,5.228999999999999915e+01,5.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,5.218999999999999773e+01,5.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,5.184000000000000341e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,9.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,9.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,5.209000000000000341e+01,9.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,5.213000000000000256e+01,9.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,5.213000000000000256e+01,9.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,9.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,5.209000000000000341e+01,9.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,9.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,5.213000000000000256e+01,9.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,9.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,5.221999999999999886e+01,9.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,5.242000000000000171e+01,9.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,5.247999999999999687e+01,9.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,5.245000000000000284e+01,9.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,5.245000000000000284e+01,9.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,5.247999999999999687e+01,9.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,5.247999999999999687e+01,9.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,5.245000000000000284e+01,9.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,5.242000000000000171e+01,9.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,5.242000000000000171e+01,9.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,5.245000000000000284e+01,9.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,5.247999999999999687e+01,9.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,5.253999999999999915e+01,9.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,5.264000000000000057e+01,9.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,5.279999999999999716e+01,9.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,5.279999999999999716e+01,9.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,5.279999999999999716e+01,9.000000000000000000e+01
