t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,7.784944244180327644e+01,7.742977949503320190e+01,4.196629467700700999e-01,0.000000000000000000e+00,4.000000000000000000e+01,1.996000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,3.942222672323578792e+01,3.879231952701163522e+01,6.299140831018752440e-01,-6.886877720026433932e-06,4.000000000000000000e+01,1.996000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,3.963248474644285579e+01,3.879231952701163522e+01,8.401652194336803881e-01,-2.455082956791225290e-12,4.000000000000000000e+01,1.996000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,3.984273588277712008e+01,3.879231952701163522e+01,1.050416355765485532e+00,-8.752053644279906830e-19,4.000000000000000000e+01,2.005999999999999872e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,3.985836337850102495e+01,3.859874507827405665e+01,1.259618334730365552e+00,-3.450339539091326047e-08,4.000000000000000000e+01,2.021999999999999886e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,3.975616756699663767e+01,3.828902596029391958e+01,1.467141661908165196e+00,-5.520544492547725043e-08,4.000000000000000000e+01,2.025000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,3.990530385719748807e+01,3.823095362567264033e+01,1.674350241875887324e+00,-1.035103829730267666e-08,4.000000000000000000e+01,2.028999999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,4.003466299127308758e+01,3.815352384617761317e+01,1.881139158896839358e+00,-1.380136184637676297e-08,4.000000000000000000e+01,2.048000000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,3.987166700494038452e+01,3.778573239357620395e+01,2.085934676920633724e+00,-6.555645616274427294e-08,4.000000000000000000e+01,2.057999999999999829e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,3.988183894791271200e+01,3.759215794483862538e+01,2.289681037577502742e+00,-3.450341876094316106e-08,4.000000000000000000e+01,2.060999999999999943e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,4.002719825089060635e+01,3.753408561021734613e+01,2.493112651024294024e+00,-1.035103091729773571e-08,4.000000000000000000e+01,2.082999999999999829e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,3.980245786535104457e+01,3.710822182299466476e+01,2.694236118263850344e+00,-7.590747355001921766e-08,4.000000000000000000e+01,2.089999999999999858e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,3.986734486007251377e+01,3.697271970887835835e+01,2.894625175346558610e+00,-2.415240383367380126e-08,4.000000000000000000e+01,2.096000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,3.995095975694286494e+01,3.685657503963579984e+01,3.094384738009111846e+00,-2.070204584456919656e-08,4.000000000000000000e+01,2.121999999999999886e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,3.964469787472691564e+01,3.635328147291809131e+01,3.291416491517659804e+00,-8.970883539638765920e-08,4.000000000000000000e+01,2.121999999999999886e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,3.984172971794426132e+01,3.635328147291809131e+01,3.488448245026207761e+00,-3.198004114619525471e-14,4.000000000000000000e+01,2.153999999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,3.941596582150755523e+01,3.573384323695782427e+01,3.682122694960594966e+00,-1.104108652509362719e-07,4.000000000000000000e+01,2.157999999999999829e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,3.953179092560960584e+01,3.565641345746279001e+01,3.875377481948212299e+00,-1.380139751641270756e-08,4.000000000000000000e+01,2.187000000000000099e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,3.916063716863568800e+01,3.509504755612379512e+01,4.065589712571746617e+00,-1.000598515536714631e-07,4.000000000000000000e+01,2.187000000000000099e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,3.935084949931903964e+01,3.509504755612379512e+01,4.255801943195280934e+00,-3.567004471331543806e-14,4.000000000000000000e+01,2.216000000000000014e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,3.897665317217968806e+01,3.453368165478480734e+01,4.442971617454731792e+00,-1.000598466336630131e-07,4.000000000000000000e+01,2.221999999999999886e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,3.904704876213421727e+01,3.441753698554226304e+01,4.629511797294028064e+00,-2.070207290459091603e-08,4.000000000000000000e+01,2.241000000000000014e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,3.886380404552055978e+01,3.404974553294084672e+01,4.814058578136166666e+00,-6.555645862275863590e-08,4.000000000000000000e+01,2.251000000000000156e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,3.885372725131122706e+01,3.385617108420326105e+01,4.997556201611379478e+00,-3.450341876094525879e-08,4.000000000000000000e+01,2.282999999999999829e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,3.841442925934455843e+01,3.323673284824300822e+01,5.177696521512432426e+00,-1.104108775509468091e-07,4.000000000000000000e+01,2.285999999999999943e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,3.853618259747408104e+01,3.317866051362172897e+01,5.357522094203407192e+00,-1.035105797732637868e-08,4.000000000000000000e+01,2.314999999999999858e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,3.815159962275318861e+01,3.261729461228274118e+01,5.534305110530299388e+00,-1.000598503236687683e-07,4.000000000000000000e+01,2.325000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,3.813375909853199630e+01,3.242372016354515551e+01,5.710038969490266680e+00,-3.450343106095876065e-08,4.000000000000000000e+01,2.348000000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,3.786185861859718926e+01,3.197849893144871203e+01,5.883359766506305988e+00,-7.935782169912986493e-08,4.000000000000000000e+01,2.367000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,3.766539457781600930e+01,3.161070747884730281e+01,6.054687164525186738e+00,-6.555647953277547718e-08,4.000000000000000000e+01,2.380000000000000071e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,3.758371130860107456e+01,3.135906069548844499e+01,6.224650657967065293e+00,-4.485443737822608136e-08,4.000000000000000000e+01,2.398999999999999844e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,3.738388992974235947e+01,3.099126924288704288e+01,6.392620752411786178e+00,-6.555646723276340469e-08,4.000000000000000000e+01,2.412000000000000099e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,3.729884935695324089e+01,3.073962245952817796e+01,6.559226942279503980e+00,-4.485443737822291822e-08,4.000000000000000000e+01,2.437999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,3.695943412609484113e+01,3.023632889281046587e+01,6.723105322993216504e+00,-8.970884400640329384e-08,4.000000000000000000e+01,2.444000000000000128e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,3.700653841215262219e+01,3.012018422356791447e+01,6.886354209286773553e+00,-2.070206921459339623e-08,4.000000000000000000e+01,2.467000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,3.672215294575005373e+01,2.967496299147147099e+01,7.047190033636402617e+00,-7.935781677912261924e-08,4.000000000000000000e+01,2.476999999999999957e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,3.668836520884957508e+01,2.948138854273389242e+01,7.206976700619106779e+00,-3.450342368094996338e-08,4.000000000000000000e+01,2.505999999999999872e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,3.628374335257277750e+01,2.892002264139490464e+01,7.363720811237728370e+00,-1.000598589336751914e-07,4.000000000000000000e+01,2.508999999999999986e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,3.638210047106884559e+01,2.886195030677362539e+01,7.520150174646271779e+00,-1.035105428732193538e-08,4.000000000000000000e+01,2.537999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,3.597412128706552181e+01,2.830058440543463760e+01,7.673536981690732617e+00,-1.000598503236674580e-07,4.000000000000000000e+01,2.546999999999999886e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,3.595234691762268397e+01,2.812636740157081405e+01,7.825979547104960687e+00,-3.105309152186682514e-08,4.000000000000000000e+01,2.573000000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,3.559876804850943444e+01,2.762307383485309487e+01,7.975694303365183480e+00,-8.970883908640298323e-08,4.000000000000000000e+01,2.580000000000000071e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,3.561224634605293460e+01,2.748757172073678490e+01,8.124674649468557774e+00,-2.415240875368235720e-08,4.000000000000000000e+01,2.601999999999999957e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.300000000000000000e+01,3.533305470697132478e+01,2.706170793351410353e+01,8.271346849364697107e+00,-7.590747847003216758e-08,4.000000000000000000e+01,2.608999999999999986e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.400000000000000000e+01,3.534349043434938409e+01,2.692620581939779711e+01,8.417284639103989718e+00,-2.415240383367555488e-08,4.000000000000000000e+01,2.637999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,3.492501969047814470e+01,2.636483991805880578e+01,8.560179872479197982e+00,-1.000598552436703097e-07,4.000000000000000000e+01,2.637999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,3.506791502391318005e+01,2.636483991805880578e+01,8.703075105854406246e+00,-3.567004602875236973e-14,4.000000000000000000e+01,2.662999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,3.472425115576866261e+01,2.588090379621484871e+01,8.843347445812302254e+00,-8.625848847729770623e-08,4.000000000000000000e+01,2.673000000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.800000000000000000e+01,3.466989994137711051e+01,2.568732934747726304e+01,8.982570628403273361e+00,-3.450342614095152158e-08,4.000000000000000000e+01,2.701999999999999957e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.900000000000000000e+01,3.424471460070858342e+01,2.512596344613827526e+01,9.118751254630161895e+00,-1.000598589336760649e-07,4.000000000000000000e+01,2.696000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+01,3.449766951136003001e+01,2.524210811538082311e+01,9.255561375277205016e+00,2.070200156450061380e-08,4.000000000000000000e+01,2.725000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.100000000000000000e+01,3.407007105354216492e+01,2.468074221404183177e+01,9.389328939560165566e+00,-1.000598392536541232e-07,4.000000000000000000e+01,2.733999999999999986e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.200000000000000000e+01,3.402867744133781258e+01,2.450652521017800822e+01,9.522152262212893348e+00,-3.105309152186287452e-08,4.000000000000000000e+01,2.744000000000000128e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.300000000000000000e+01,3.396687715443571420e+01,2.431295076144042255e+01,9.653926427498696228e+00,-3.450340646094053167e-08,4.000000000000000000e+01,2.767000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.400000000000000000e+01,3.365101698082673209e+01,2.386772952934398262e+01,9.783287530840571122e+00,-7.935782169912109019e-08,4.000000000000000000e+01,2.776000000000000156e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.500000000000000000e+01,3.360521688697928511e+01,2.369351252548015552e+01,9.911704392552213250e+00,-3.105308414186100572e-08,4.000000000000000000e+01,2.798999999999999844e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.600000000000000000e+01,3.328599940634583021e+01,2.324829129338372269e+01,1.003770819231992739e+01,-7.935782046912452310e-08,4.000000000000000000e+01,2.798999999999999844e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.700000000000000000e+01,3.341200328547133580e+01,2.324829129338372269e+01,1.016371199208764153e+01,-2.829003801756155328e-14,4.000000000000000000e+01,2.830999999999999872e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.800000000000000000e+01,3.291521143529378435e+01,2.262885305742345565e+01,1.028635848828119492e+01,-1.104108652509349616e-07,4.000000000000000000e+01,2.833999999999999986e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.900000000000000000e+01,3.297947094971578963e+01,2.257078072280217995e+01,1.040869023726467013e+01,-1.035105797732199462e-08,4.000000000000000000e+01,2.857000000000000028e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+01,3.265416833565214461e+01,2.212555949070573647e+01,1.052860892430421735e+01,-7.935781308912080803e-08,4.000000000000000000e+01,2.862999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.100000000000000000e+01,3.265731291768472744e+01,2.200941482146318862e+01,1.064789811692360999e+01,-2.070206552458334299e-08,4.000000000000000000e+01,2.867000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.200000000000000000e+01,3.269875267476301417e+01,2.193198504196815080e+01,1.076676764659623231e+01,-1.380136553638550265e-08,4.000000000000000000e+01,2.892000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.300000000000000000e+01,3.233106311671723887e+01,2.144804892012419373e+01,1.088301428285154238e+01,-8.625849339729354344e-08,4.000000000000000000e+01,2.898999999999999844e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.400000000000000000e+01,3.231107329080548851e+01,2.131254680600789086e+01,1.099852650895000394e+01,-2.415240752367745543e-08,4.000000000000000000e+01,2.914999999999999858e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.500000000000000000e+01,3.211518771608370315e+01,2.100282768802775735e+01,1.111236008326138602e+01,-5.520544123548377058e-08,4.000000000000000000e+01,2.928000000000000114e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.600000000000000000e+01,3.197601061281022439e+01,2.075118090466889598e+01,1.122482975299576502e+01,-4.485443368821584614e-08,4.000000000000000000e+01,2.928000000000000114e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.700000000000000000e+01,3.208848032739902578e+01,2.075118090466889598e+01,1.133729942273014402e+01,-1.599002627333395012e-14,4.000000000000000000e+01,2.957000000000000028e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,3.163654143937050023e+01,2.018981500332990819e+01,1.144672653610044044e+01,-1.000598466336559986e-07,4.000000000000000000e+01,2.960000000000000142e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,3.168758156061823072e+01,2.013174266870862894e+01,1.155583890226065868e+01,-1.035105428731754967e-08,4.000000000000000000e+01,2.973000000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+01,3.154368320433923145e+01,1.988009588534977468e+01,1.166358736384387385e+01,-4.485441769820500646e-08,4.000000000000000000e+01,2.992000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.100000000000000000e+01,3.128164679362182810e+01,1.951230443274836190e+01,1.176934242642993134e+01,-6.555646723275759457e-08,4.000000000000000000e+01,2.992000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.200000000000000000e+01,3.138740192176432586e+01,1.951230443274836190e+01,1.187509748901598883e+01,-2.337003384604421689e-14,4.000000000000000000e+01,3.017999999999999972e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.300000000000000000e+01,3.098713551876986827e+01,1.900901086603065337e+01,1.197812474244804015e+01,-8.970882801638402354e-08,4.000000000000000000e+01,3.023999999999999844e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.400000000000000000e+01,3.097338867754597658e+01,1.889286619678810553e+01,1.208052250145993689e+01,-2.070206921458647107e-08,4.000000000000000000e+01,3.030999999999999872e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,3.093954990883439748e+01,1.875736408267179556e+01,1.218218585031498691e+01,-2.415238415366018422e-08,4.000000000000000000e+01,3.053000000000000114e+01,4.000000000000000000e+01,0.000000000000000000e+00
