t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.045302023182948261e+02,-4.530202318294826114e+00,0.000000000000000000e+00,5.400000000000000000e+01,2.076999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,6.432478931549883328e+01,3.567521068450116672e+01,-7.166355222692835783e-06,5.400000000000000000e+01,2.073999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,6.438286165012011963e+01,3.561713834987988037e+01,1.034846390419780932e-08,5.400000000000000000e+01,2.080000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,6.426671698087756113e+01,3.573328301912243887e+01,-2.070203354545545876e-08,5.400000000000000000e+01,2.082999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,6.420864464625628898e+01,3.579135535374371102e+01,-1.035102599728216362e-08,5.400000000000000000e+01,2.089999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,6.407314253213998256e+01,3.592685746786001744e+01,-2.415238046364697115e-08,5.400000000000000000e+01,2.089999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,6.407314253213998256e+01,3.592685746786001744e+01,-8.610011684948201173e-15,5.400000000000000000e+01,2.112000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,6.364727874491727988e+01,3.635272125508272012e+01,-7.590746986001592414e-08,5.400000000000000000e+01,2.125000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,6.339563196155843627e+01,3.660436803844156373e+01,-4.485444106821921710e-08,5.400000000000000000e+01,2.144999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,6.300848306408326494e+01,3.699151693591673506e+01,-6.900680677185787468e-08,5.400000000000000000e+01,2.153999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,6.283426606021944849e+01,3.716573393978055151e+01,-3.105308045185664679e-08,5.400000000000000000e+01,2.182999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,6.227290015888045360e+01,3.772709984111954640e+01,-1.000598577036723907e-07,5.400000000000000000e+01,2.205999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,6.182767892678401722e+01,3.817232107321598278e+01,-7.935784506914923717e-08,5.400000000000000000e+01,2.237999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,6.120824069082375019e+01,3.879175930917624981e+01,-1.104108935409716646e-07,5.400000000000000000e+01,2.260999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,6.076301945872730670e+01,3.923698054127269330e+01,-7.935784875915982311e-08,5.400000000000000000e+01,2.292999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,6.014358122276703966e+01,3.985641877723296034e+01,-1.104108935409729748e-07,5.400000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,5.971771743554435830e+01,4.028228256445564170e+01,-7.590750922006788098e-08,5.400000000000000000e+01,2.319000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,5.964028765604932403e+01,4.035971234395067597e+01,-1.380138521641315032e-08,5.400000000000000000e+01,2.382999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,5.840141118412879706e+01,4.159858881587120294e+01,-2.208217354218641061e-07,5.400000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,5.784004528278980217e+01,4.215995471721019783e+01,-1.000599253537480670e-07,5.400000000000000000e+01,2.444000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,5.722060704682953514e+01,4.277939295317046486e+01,-1.104109009209958937e-07,5.400000000000000000e+01,2.476999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+02,5.658181136599551309e+01,4.341818863400448691e+01,-1.138612441500757239e-07,5.400000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+02,5.596237313003524605e+01,4.403762686996475395e+01,-1.104109058409877869e-07,5.400000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+02,5.534293489407497901e+01,4.465706510592502099e+01,-1.104109046109867464e-07,5.400000000000000000e+01,2.573000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+02,5.472349665811471198e+01,4.527650334188528802e+01,-1.104109046109863097e-07,5.400000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+02,5.410405842215444494e+01,4.589594157784555506e+01,-1.104109046109863097e-07,5.400000000000000000e+01,2.633999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,5.354269252081545716e+01,4.645730747918454284e+01,-1.000598859937117274e-07,5.400000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+02,5.284582450536016296e+01,4.715417549463983704e+01,-1.242122590773471980e-07,5.400000000000000000e+01,2.701999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+02,5.222638626939989592e+01,4.777361373060010408e+01,-1.104109095309909216e-07,5.400000000000000000e+01,2.730999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+02,5.166502036806090814e+01,4.833497963193909186e+01,-1.000598859937134876e-07,5.400000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+02,5.096815235260559973e+01,4.903184764739440027e+01,-1.242122590773484156e-07,5.400000000000000000e+01,2.789000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+02,5.054228856538291836e+01,4.945771143461708164e+01,-7.590751414007643692e-08,5.400000000000000000e+01,2.828000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+02,4.978734821530634491e+01,5.021265178469365509e+01,-1.345632690846131470e-07,5.400000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+02,4.910983764472481283e+01,5.089016235527518717e+01,-1.207619318382656740e-07,5.400000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+02,4.847104196389078368e+01,5.152895803610921632e+01,-1.138612478400857673e-07,5.400000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+02,4.785160372793051664e+01,5.214839627206948336e+01,-1.104109058409891104e-07,5.400000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+02,4.723216549197024960e+01,5.276783450802975040e+01,-1.104109046109867464e-07,5.400000000000000000e+01,2.989000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+02,4.667079959063126182e+01,5.332920040936873818e+01,-1.000598859937117274e-07,5.400000000000000000e+01,3.023999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+02,4.599328902004972264e+01,5.400671097995027736e+01,-1.207619195382552427e-07,5.400000000000000000e+01,3.050000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+02,4.548999545333200700e+01,5.451000454666799300e+01,-8.970887106644149736e-08,5.400000000000000000e+01,3.085999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+02,4.479312743787670570e+01,5.520687256212329430e+01,-1.242122553873440633e-07,5.400000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+02,4.411561686729516651e+01,5.588438313270483349e+01,-1.207619281482642069e-07,5.400000000000000000e+01,3.150000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+02,4.355425096595617873e+01,5.644574903404382127e+01,-1.000598896837179326e-07,5.400000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+02,4.285738295050087743e+01,5.714261704949912257e+01,-1.242122590773484950e-07,5.400000000000000000e+01,3.210999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
